compound_id	target_gene	metapath	dwpc
CHEMBL561125	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL562794	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL560663	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL550249	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL558033	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL564316	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL559039	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL550251	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL565134	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL301982	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3609826	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3937369	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3975567	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3946252	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3947240	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3919459	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3955977	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3928361	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3900925	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3972065	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3953713	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3901185	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3944589	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3916672	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3964729	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3911352	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3936187	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3891011	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3922414	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3983798	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3919811	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3923966	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3905315	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3967087	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4070633	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4087666	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4077078	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4099031	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4063330	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4069552	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4096048	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4070302	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4102297	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL4282794	EEF1A1	CbGpCC	0.008380604437370211
CHEMBL3301622	EEF1A2	CbGpCC	0.011945079616260124
CHEMBL2103840	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL5653589	EEF1A2	CbGpCC	0.13547057908675963
CHEMBL3752910	EEF1A2	CbGpCC	0.09940123736107738
CHEMBL1232461	EEF1A2	CbGpCC	0.07135571365403141
CHEMBL1802814	EEF1A2	CbGpCC	0.08415221152637298
CHEMBL1802815	EEF1A2	CbGpCC	0.08415221152637298
CHEMBL1802973	EEF1A2	CbGpCC	0.08415221152637298
CHEMBL555689	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL559594	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL564799	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL561125	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL562794	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL560663	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL550249	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL558033	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL564316	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL559039	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL550251	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL565134	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL301982	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3609826	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3937369	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3975567	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3946252	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3947240	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3919459	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3955977	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3928361	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3900925	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3972065	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3953713	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3901185	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3944589	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3916672	EEF1A2	CbGpCC	0.00445237034836379
