compound_id	metapath	target_gene	dwpc	p_cell	pi	alpha	beta	mean	n_nonzero	fit_method	n_compound_slots	p_gamma_pooled
CHEMBL3922414	CbG	EEF1A2	0.0	1.0	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	
CHEMBL3922414	CbGiG	EEF1A1	0.0451863237999041	0.9259074092590741	0.9337509090909092	1.4278339770511874	21.9151369057448	0.0651528659479602	513563	method_of_moments	55	0.5126081481557953
CHEMBL3922414	CbGiG	EEF1A2	0.0545324491617697	0.1907809219078092	0.2615763636363636	2.1632635218135485	20.152211551593272	0.1073462094358828	143867	method_of_moments	55	0.19467399661823115
CHEMBL3922414	CbGpBP	EEF1A1	0.0097702095258123	0.5061493850614939	0.7713072727272727	0.81553903524029	39.34619358988424	0.020727266371453	424219	method_of_moments	55	0.45117235850257414
CHEMBL3922414	CbGpBP	EEF1A2	0.0	1.0	0.6467709090909091	0.810101374630969	40.178230995676685	0.0201626939403613	355724	method_of_moments	55	
CHEMBL3922414	CbGpCC	EEF1A1	0.0083806044373702	0.983001699830017	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.8135115601043311
CHEMBL3922414	CbGpCC	EEF1A2	0.0044523703483637	0.9675032496750325	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.7843560982341977
CHEMBL3922414	CbGpMF	EEF1A1	0.0091632493803673	0.8152184781521847	0.9224072727272729	0.9813221502306764	31.77560289643139	0.0308828805995962	507324	method_of_moments	55	0.6817679140263749
CHEMBL3922414	CbGpMF	EEF1A2	0.0107767053744122	0.656934306569343	0.8603745454545455	0.8658076247869546	32.196321205759084	0.0268915078605963	473206	method_of_moments	55	0.5506007133419222
CHEMBL3922414	CbGpPW	EEF1A1	0.0273766177657879	0.18958104189581043	0.8257890909090909	0.5180778940616431	15.179530828061422	0.0341300333936478	454184	method_of_moments	55	0.30929501011138527
CHEMBL3922414	CbGpPW	EEF1A2	0.0	1.0	0.2592654545454545	2.094388222319429	60.492471258382125	0.03462229561384	142596	method_of_moments	55	
CHEMBL3922414	CsG	EEF1A2	0.0	1.0	0.0383631713554987	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	391	
CHEMBL3922414	CsGiG	EEF1A1	0.0	1.0	0.979743989769821	2.451950772460252	63.621750742855504	0.0385395048679259	3830799	method_of_moments	391	
CHEMBL3922414	CsGiG	EEF1A2	0.0	1.0	0.6729762148337596	4.84108388779578	156.31248418345882	0.0309705517961953	2631337	method_of_moments	391	
CHEMBL3922414	CsGpPW	EEF1A1	0.0	1.0	0.9301434782608696	3.065154474757922	123.97225942116904	0.0247245189292285	3636861	method_of_moments	391	
CHEMBL3922414	CsGpPW	EEF1A2	0.0	1.0	0.5700662404092072	3.587008639025775	291.4066975100728	0.0123092868821307	2228959	method_of_moments	391	
CHEMBL3983798	CbG	EEF1A1	0.0	1.0	0.0545454545454545	6.457770173863931	15.683099547332228	0.4117661916494325	30000	method_of_moments	55	
CHEMBL3983798	CbG	EEF1A2	0.0	1.0	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	
CHEMBL3983798	CbGiG	EEF1A1	0.0451863237999041	0.9263073692630737	0.9337509090909092	1.4278339770511874	21.9151369057448	0.0651528659479602	513563	method_of_moments	55	0.5126081481557953
CHEMBL3983798	CbGiG	EEF1A2	0.0545324491617697	0.19658034196580343	0.2615763636363636	2.1632635218135485	20.152211551593272	0.1073462094358828	143867	method_of_moments	55	0.19467399661823115
CHEMBL3983798	CbGpBP	EEF1A1	0.0097702095258123	0.5009499050094991	0.7713072727272727	0.81553903524029	39.34619358988424	0.020727266371453	424219	method_of_moments	55	0.45117235850257414
CHEMBL3983798	CbGpBP	EEF1A2	0.0	1.0	0.6467709090909091	0.810101374630969	40.178230995676685	0.0201626939403613	355724	method_of_moments	55	
CHEMBL3983798	CbGpCC	EEF1A1	0.0083806044373702	0.984001599840016	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.8135115601043311
CHEMBL3983798	CbGpCC	EEF1A2	0.0044523703483637	0.9686031396860314	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.7843560982341977
CHEMBL3983798	CbGpMF	EEF1A1	0.0091632493803673	0.8149185081491851	0.9224072727272729	0.9813221502306764	31.77560289643139	0.0308828805995962	507324	method_of_moments	55	0.6817679140263749
CHEMBL3983798	CbGpMF	EEF1A2	0.0107767053744122	0.6534346565343465	0.8603745454545455	0.8658076247869546	32.196321205759084	0.0268915078605963	473206	method_of_moments	55	0.5506007133419222
CHEMBL3983798	CbGpPW	EEF1A1	0.0273766177657879	0.1927807219278072	0.8257890909090909	0.5180778940616431	15.179530828061422	0.0341300333936478	454184	method_of_moments	55	0.30929501011138527
CHEMBL3983798	CbGpPW	EEF1A2	0.0	1.0	0.2592654545454545	2.094388222319429	60.492471258382125	0.03462229561384	142596	method_of_moments	55	
CHEMBL3983798	CsG	EEF1A2	0.0	1.0	0.0383631713554987	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	391	
CHEMBL3983798	CsGiG	EEF1A1	0.0	1.0	0.979743989769821	2.451950772460252	63.621750742855504	0.0385395048679259	3830799	method_of_moments	391	
CHEMBL3983798	CsGiG	EEF1A2	0.0	1.0	0.6729762148337596	4.84108388779578	156.31248418345882	0.0309705517961953	2631337	method_of_moments	391	
CHEMBL3983798	CsGpPW	EEF1A1	0.0	1.0	0.9301434782608696	3.065154474757922	123.97225942116904	0.0247245189292285	3636861	method_of_moments	391	
CHEMBL3983798	CsGpPW	EEF1A2	0.0	1.0	0.5700662404092072	3.587008639025775	291.4066975100728	0.0123092868821307	2228959	method_of_moments	391	
CHEMBL3919811	CbG	EEF1A1	0.0	1.0	0.0545454545454545	6.457770173863931	15.683099547332228	0.4117661916494325	30000	method_of_moments	55	
CHEMBL3919811	CbG	EEF1A2	0.0	1.0	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	
CHEMBL3919811	CbGiG	EEF1A1	0.0451863237999041	0.9264073592640736	0.9337509090909092	1.4278339770511874	21.9151369057448	0.0651528659479602	513563	method_of_moments	55	0.5126081481557953
CHEMBL3919811	CbGiG	EEF1A2	0.0545324491617697	0.1952804719528047	0.2615763636363636	2.1632635218135485	20.152211551593272	0.1073462094358828	143867	method_of_moments	55	0.19467399661823115
CHEMBL3919811	CbGpBP	EEF1A1	0.0097702095258123	0.5034496550344966	0.7713072727272727	0.81553903524029	39.34619358988424	0.020727266371453	424219	method_of_moments	55	0.45117235850257414
CHEMBL3919811	CbGpBP	EEF1A2	0.0	1.0	0.6467709090909091	0.810101374630969	40.178230995676685	0.0201626939403613	355724	method_of_moments	55	
CHEMBL3919811	CbGpCC	EEF1A1	0.0083806044373702	0.9828017198280172	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.8135115601043311
CHEMBL3919811	CbGpCC	EEF1A2	0.0044523703483637	0.9696030396960303	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.7843560982341977
CHEMBL3919811	CbGpMF	EEF1A1	0.0091632493803673	0.8118188181181882	0.9224072727272729	0.9813221502306764	31.77560289643139	0.0308828805995962	507324	method_of_moments	55	0.6817679140263749
CHEMBL3919811	CbGpMF	EEF1A2	0.0107767053744122	0.657034296570343	0.8603745454545455	0.8658076247869546	32.196321205759084	0.0268915078605963	473206	method_of_moments	55	0.5506007133419222
CHEMBL3919811	CbGpPW	EEF1A1	0.0273766177657879	0.19218078192180782	0.8257890909090909	0.5180778940616431	15.179530828061422	0.0341300333936478	454184	method_of_moments	55	0.30929501011138527
CHEMBL3919811	CbGpPW	EEF1A2	0.0	1.0	0.2592654545454545	2.094388222319429	60.492471258382125	0.03462229561384	142596	method_of_moments	55	
CHEMBL3919811	CsG	EEF1A2	0.0	1.0	0.0383631713554987	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	391	
CHEMBL3919811	CsGiG	EEF1A1	0.0	1.0	0.979743989769821	2.451950772460252	63.621750742855504	0.0385395048679259	3830799	method_of_moments	391	
CHEMBL3919811	CsGiG	EEF1A2	0.0	1.0	0.6729762148337596	4.84108388779578	156.31248418345882	0.0309705517961953	2631337	method_of_moments	391	
CHEMBL3919811	CsGpPW	EEF1A1	0.0	1.0	0.9301434782608696	3.065154474757922	123.97225942116904	0.0247245189292285	3636861	method_of_moments	391	
CHEMBL3919811	CsGpPW	EEF1A2	0.0	1.0	0.5700662404092072	3.587008639025775	291.4066975100728	0.0123092868821307	2228959	method_of_moments	391	
CHEMBL3923966	CbG	EEF1A1	0.0	1.0	0.0545454545454545	6.457770173863931	15.683099547332228	0.4117661916494325	30000	method_of_moments	55	
CHEMBL3923966	CbG	EEF1A2	0.0	1.0	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	
CHEMBL3923966	CbGiG	EEF1A1	0.0451863237999041	0.9253074692530747	0.9337509090909092	1.4278339770511874	21.9151369057448	0.0651528659479602	513563	method_of_moments	55	0.5126081481557953
CHEMBL3923966	CbGiG	EEF1A2	0.0545324491617697	0.19038096190380963	0.2615763636363636	2.1632635218135485	20.152211551593272	0.1073462094358828	143867	method_of_moments	55	0.19467399661823115
CHEMBL3923966	CbGpBP	EEF1A1	0.0097702095258123	0.49995000499950004	0.7713072727272727	0.81553903524029	39.34619358988424	0.020727266371453	424219	method_of_moments	55	0.45117235850257414
CHEMBL3923966	CbGpBP	EEF1A2	0.0	1.0	0.6467709090909091	0.810101374630969	40.178230995676685	0.0201626939403613	355724	method_of_moments	55	
CHEMBL3923966	CbGpCC	EEF1A1	0.0083806044373702	0.9825017498250175	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.8135115601043311
CHEMBL3923966	CbGpCC	EEF1A2	0.0044523703483637	0.9667033296670333	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.7843560982341977
CHEMBL3923966	CbGpMF	EEF1A1	0.0091632493803673	0.8138186181381862	0.9224072727272729	0.9813221502306764	31.77560289643139	0.0308828805995962	507324	method_of_moments	55	0.6817679140263749
CHEMBL3923966	CbGpMF	EEF1A2	0.0107767053744122	0.6547345265473453	0.8603745454545455	0.8658076247869546	32.196321205759084	0.0268915078605963	473206	method_of_moments	55	0.5506007133419222
CHEMBL3923966	CbGpPW	EEF1A1	0.0273766177657879	0.1892810718928107	0.8257890909090909	0.5180778940616431	15.179530828061422	0.0341300333936478	454184	method_of_moments	55	0.30929501011138527
CHEMBL3923966	CbGpPW	EEF1A2	0.0	1.0	0.2592654545454545	2.094388222319429	60.492471258382125	0.03462229561384	142596	method_of_moments	55	
CHEMBL3923966	CsG	EEF1A2	0.0	1.0	0.0383631713554987	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	391	
CHEMBL3923966	CsGiG	EEF1A1	0.0	1.0	0.979743989769821	2.451950772460252	63.621750742855504	0.0385395048679259	3830799	method_of_moments	391	
CHEMBL3923966	CsGiG	EEF1A2	0.0	1.0	0.6729762148337596	4.84108388779578	156.31248418345882	0.0309705517961953	2631337	method_of_moments	391	
CHEMBL3923966	CsGpPW	EEF1A1	0.0	1.0	0.9301434782608696	3.065154474757922	123.97225942116904	0.0247245189292285	3636861	method_of_moments	391	
CHEMBL3923966	CsGpPW	EEF1A2	0.0	1.0	0.5700662404092072	3.587008639025775	291.4066975100728	0.0123092868821307	2228959	method_of_moments	391	
CHEMBL3905315	CbG	EEF1A1	0.0	1.0	0.0545454545454545	6.457770173863931	15.683099547332228	0.4117661916494325	30000	method_of_moments	55	
CHEMBL3905315	CbG	EEF1A2	0.0	1.0	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	
CHEMBL3905315	CbGiG	EEF1A1	0.0451863237999041	0.9273072692730727	0.9337509090909092	1.4278339770511874	21.9151369057448	0.0651528659479602	513563	method_of_moments	55	0.5126081481557953
CHEMBL3905315	CbGiG	EEF1A2	0.0545324491617697	0.19088091190880913	0.2615763636363636	2.1632635218135485	20.152211551593272	0.1073462094358828	143867	method_of_moments	55	0.19467399661823115
CHEMBL3905315	CbGpBP	EEF1A1	0.0097702095258123	0.505949405059494	0.7713072727272727	0.81553903524029	39.34619358988424	0.020727266371453	424219	method_of_moments	55	0.45117235850257414
CHEMBL3905315	CbGpBP	EEF1A2	0.0	1.0	0.6467709090909091	0.810101374630969	40.178230995676685	0.0201626939403613	355724	method_of_moments	55	
CHEMBL3905315	CbGpCC	EEF1A1	0.0083806044373702	0.9841015898410159	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.8135115601043311
CHEMBL3905315	CbGpCC	EEF1A2	0.0044523703483637	0.9688031196880312	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.7843560982341977
CHEMBL3905315	CbGpMF	EEF1A1	0.0091632493803673	0.817018298170183	0.9224072727272729	0.9813221502306764	31.77560289643139	0.0308828805995962	507324	method_of_moments	55	0.6817679140263749
CHEMBL3905315	CbGpMF	EEF1A2	0.0107767053744122	0.6534346565343465	0.8603745454545455	0.8658076247869546	32.196321205759084	0.0268915078605963	473206	method_of_moments	55	0.5506007133419222
CHEMBL3905315	CbGpPW	EEF1A1	0.0273766177657879	0.18838116188381163	0.8257890909090909	0.5180778940616431	15.179530828061422	0.0341300333936478	454184	method_of_moments	55	0.30929501011138527
CHEMBL3905315	CbGpPW	EEF1A2	0.0	1.0	0.2592654545454545	2.094388222319429	60.492471258382125	0.03462229561384	142596	method_of_moments	55	
CHEMBL3905315	CsG	EEF1A2	0.0	1.0	0.0383631713554987	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	391	
CHEMBL3905315	CsGiG	EEF1A1	0.0	1.0	0.979743989769821	2.451950772460252	63.621750742855504	0.0385395048679259	3830799	method_of_moments	391	
CHEMBL3905315	CsGiG	EEF1A2	0.0	1.0	0.6729762148337596	4.84108388779578	156.31248418345882	0.0309705517961953	2631337	method_of_moments	391	
CHEMBL3905315	CsGpPW	EEF1A1	0.0	1.0	0.9301434782608696	3.065154474757922	123.97225942116904	0.0247245189292285	3636861	method_of_moments	391	
CHEMBL3905315	CsGpPW	EEF1A2	0.0	1.0	0.5700662404092072	3.587008639025775	291.4066975100728	0.0123092868821307	2228959	method_of_moments	391	
CHEMBL3967087	CbG	EEF1A1	0.0	1.0	0.0545454545454545	6.457770173863931	15.683099547332228	0.4117661916494325	30000	method_of_moments	55	
CHEMBL3967087	CbG	EEF1A2	0.0	1.0	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	
CHEMBL3967087	CbGiG	EEF1A1	0.0451863237999041	0.9281071892810719	0.9337509090909092	1.4278339770511874	21.9151369057448	0.0651528659479602	513563	method_of_moments	55	0.5126081481557953
CHEMBL3967087	CbGiG	EEF1A2	0.0545324491617697	0.18938106189381063	0.2615763636363636	2.1632635218135485	20.152211551593272	0.1073462094358828	143867	method_of_moments	55	0.19467399661823115
CHEMBL3967087	CbGpBP	EEF1A1	0.0097702095258123	0.49875012498750126	0.7713072727272727	0.81553903524029	39.34619358988424	0.020727266371453	424219	method_of_moments	55	0.45117235850257414
CHEMBL3967087	CbGpBP	EEF1A2	0.0	1.0	0.6467709090909091	0.810101374630969	40.178230995676685	0.0201626939403613	355724	method_of_moments	55	
CHEMBL3967087	CbGpCC	EEF1A1	0.0083806044373702	0.9843015698430156	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.8135115601043311
CHEMBL3967087	CbGpCC	EEF1A2	0.0044523703483637	0.9662033796620338	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.7843560982341977
CHEMBL3967087	CbGpMF	EEF1A1	0.0091632493803673	0.8073192680731927	0.9224072727272729	0.9813221502306764	31.77560289643139	0.0308828805995962	507324	method_of_moments	55	0.6817679140263749
CHEMBL3967087	CbGpMF	EEF1A2	0.0107767053744122	0.6505349465053495	0.8603745454545455	0.8658076247869546	32.196321205759084	0.0268915078605963	473206	method_of_moments	55	0.5506007133419222
CHEMBL3967087	CbGpPW	EEF1A1	0.0273766177657879	0.18868113188681132	0.8257890909090909	0.5180778940616431	15.179530828061422	0.0341300333936478	454184	method_of_moments	55	0.30929501011138527
CHEMBL3967087	CbGpPW	EEF1A2	0.0	1.0	0.2592654545454545	2.094388222319429	60.492471258382125	0.03462229561384	142596	method_of_moments	55	
CHEMBL3967087	CsG	EEF1A2	0.0	1.0	0.0383631713554987	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	391	
CHEMBL3967087	CsGiG	EEF1A1	0.0	1.0	0.979743989769821	2.451950772460252	63.621750742855504	0.0385395048679259	3830799	method_of_moments	391	
CHEMBL3967087	CsGiG	EEF1A2	0.0	1.0	0.6729762148337596	4.84108388779578	156.31248418345882	0.0309705517961953	2631337	method_of_moments	391	
CHEMBL3967087	CsGpPW	EEF1A1	0.0	1.0	0.9301434782608696	3.065154474757922	123.97225942116904	0.0247245189292285	3636861	method_of_moments	391	
CHEMBL3967087	CsGpPW	EEF1A2	0.0	1.0	0.5700662404092072	3.587008639025775	291.4066975100728	0.0123092868821307	2228959	method_of_moments	391	
CHEMBL4070633	CbG	EEF1A1	0.0	1.0	0.0545454545454545	6.457770173863931	15.683099547332228	0.4117661916494325	30000	method_of_moments	55	
CHEMBL4070633	CbG	EEF1A2	0.0	1.0	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	
CHEMBL4070633	CbGiG	EEF1A1	0.0451863237999041	0.9256074392560744	0.9337509090909092	1.4278339770511874	21.9151369057448	0.0651528659479602	513563	method_of_moments	55	0.5126081481557953
CHEMBL4070633	CbGiG	EEF1A2	0.0545324491617697	0.19788021197880212	0.2615763636363636	2.1632635218135485	20.152211551593272	0.1073462094358828	143867	method_of_moments	55	0.19467399661823115
CHEMBL4070633	CbGpBP	EEF1A1	0.0097702095258123	0.49775022497750226	0.7713072727272727	0.81553903524029	39.34619358988424	0.020727266371453	424219	method_of_moments	55	0.45117235850257414
CHEMBL4070633	CbGpBP	EEF1A2	0.0	1.0	0.6467709090909091	0.810101374630969	40.178230995676685	0.0201626939403613	355724	method_of_moments	55	
CHEMBL4070633	CbGpCC	EEF1A1	0.0083806044373702	0.9812018798120188	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.8135115601043311
CHEMBL4070633	CbGpCC	EEF1A2	0.0044523703483637	0.9672032796720328	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.7843560982341977
