compound_id	best_metapath	best_target_gene	dwpc_at_best	p_cell_min	p_minp	q_bh	p_bonferroni	p_westfall_young	n_permutations	significant_bh	significant_bonferroni	significant_wy
CHEMBL1235226	CsGiG	EEF1A2	0.0852885491135841	0.0011998800119988001	0.0035996400359964	0.030873835693353738	1.0	0.6672332766723328	10000	True	False	False
CHEMBL345292	CsGpPW	EEF1A2	0.0440893368118838	0.0013998600139986002	0.0035996400359964	0.030873835693353738	1.0	0.732026797320268	10000	True	False	False
PUBCHEM:10214	CsGiG	EEF1A2	0.0852885491135841	0.0010998900109989002	0.0035996400359964	0.030873835693353738	1.0	0.6305369463053695	10000	True	False	False
PUBCHEM:18628280	CsGiG	EEF1A2	0.0852885491135841	0.000999900009999	0.0035996400359964	0.030873835693353738	1.0	0.5908409159084091	10000	True	False	False
PUBCHEM:20042692	CsGiG	EEF1A2	0.1155794387967333	0.000999900009999	0.0035996400359964	0.030873835693353738	1.0	0.5908409159084091	10000	True	False	False
PUBCHEM:4631220	CsGpPW	EEF1A2	0.0440893368118838	0.0015998400159984002	0.0038996100389961006	0.031295116102424844	1.0	0.7841215878412159	10000	True	False	False
PUBCHEM:783	CsGiG	EEF1A2	0.0852885491135841	0.0010998900109989002	0.003999600039996	0.031295116102424844	1.0	0.6305369463053695	10000	True	False	False
CHEMBL1230989	CsGiG	EEF1A2	0.0852885491135841	0.0011998800119988001	0.003999600039996	0.031295116102424844	1.0	0.6672332766723328	10000	True	False	False
PUBCHEM:440758	CsGiG	EEF1A2	0.0852885491135841	0.0011998800119988001	0.003999600039996	0.031295116102424844	1.0	0.6672332766723328	10000	True	False	False
CHEMBL1234276	CsGiG	EEF1A2	0.091905738977668	0.0010998900109989002	0.003999600039996	0.031295116102424844	1.0	0.6305369463053695	10000	True	False	False
PUBCHEM:24892762	CsGiG	EEF1A2	0.0852885491135841	0.0013998600139986002	0.0045995400459954	0.035368876905412905	1.0	0.732026797320268	10000	True	False	False
PUBCHEM:20395750	CsGiG	EEF1A2	0.091905738977668	0.0012998700129987	0.0046995300469953	0.035525261033218715	1.0	0.7011298870112989	10000	True	False	False
PUBCHEM:23977	CsGiG	EEF1A2	0.0852885491135841	0.0013998600139986002	0.004899510048995101	0.03641969136419691	1.0	0.732026797320268	10000	True	False	False
PUBCHEM:990	CsGiG	EEF1A2	0.0852885491135841	0.0013998600139986002	0.004999500049995001	0.036553721677012624	1.0	0.732026797320268	10000	True	False	False
CHEMBL1200391	CsGiG	EEF1A2	0.091905738977668	0.0013998600139986002	0.0051994800519948	0.03740271134176905	1.0	0.732026797320268	10000	True	False	False
CHEMBL457299	CsGiG	EEF1A2	0.091905738977668	0.0014998500149985001	0.0053994600539946005	0.03822474895367606	1.0	0.7609239076092391	10000	True	False	False
CHEMBL3752910	CbGiG	EEF1A1	0.4173306289570891	0.0006999300069993001	0.006099390060993901	0.04250512448755125	1.0	0.45345465453454653	10000	True	False	False
CHEMBL254951	CsGpPW	EEF1A2	0.0334134691061145	0.0036996300369963003	0.013498650134986502	0.09256953092569531	1.0	0.9724027597240276	10000	False	False	False
CHEMBL1802973	CbGpBP	EEF1A2	0.1424255731043326	0.0017998200179982	0.0136986301369863	0.09256953092569531	1.0	0.8212178782121787	10000	False	False	False
CHEMBL1802814	CbGpBP	EEF1A2	0.1424255731043326	0.0021997800219978004	0.016698330166983303	0.11115604857424706	1.0	0.8812118788121188	10000	False	False	False
CHEMBL284377	CsGpPW	EEF1A1	0.0428892327237658	0.008599140085991401	0.025197480251974803	0.16480960599592215	1.0	1.0	10000	False	False	False
CHEMBL1418244	CsGpPW	EEF1A1	0.0428892327237658	0.0086991300869913	0.0254974502549745	0.16480960599592215	1.0	1.0	10000	False	False	False
CHEMBL1802815	CbGpBP	EEF1A2	0.1424255731043326	0.0031996800319968005	0.025897410258974102	0.16500349965003497	1.0	0.9534046595340466	10000	False	False	False
CHEMBL1261	CsGiG	EEF1A2	0.0819156981013864	0.007899210078992101	0.029497050294970503	0.1827178393271784	1.0	1.0	10000	False	False	False
PUBCHEM:3246323	CsGpPW	EEF1A1	0.0428892327237658	0.010798920107989201	0.029497050294970503	0.1827178393271784	1.0	1.0	10000	False	False	False
CHEMBL1742182	CsGpPW	EEF1A1	0.0428892327237658	0.012098790120987902	0.0313968603139686	0.19182191369904106	1.0	1.0	10000	False	False	False
CHEMBL3301622	CbGpMF	EEF1A2	0.0936799497102523	0.010198980101989802	0.054894510548945105	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1627076	CsGpPW	EEF1A1	0.0493551383964375	0.0182981701829817	0.0580941905809419	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:46936762	CsGiG	EEF1A2	0.0520228324449578	0.018998100189981004	0.0598940105989401	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1627075	CsGiG	EEF1A2	0.0801410308060595	0.0164983501649835	0.06059394060593941	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:12876354	CsGiG	EEF1A2	0.0520228324449578	0.0198980101989801	0.060693930606939304	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1329786	CsGiG	EEF1A2	0.0801410308060595	0.016698330166983303	0.06079392060793921	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1232391	CsGiG	EEF1A2	0.0520228324449578	0.019498050194980503	0.0608939106089391	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1242996	CsGpPW	EEF1A1	0.0493551383964375	0.0193980601939806	0.061693830616938304	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:46936447	CsGiG	EEF1A2	0.0520228324449578	0.020597940205979402	0.0633936606339366	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:4473609	CsGiG	EEF1A2	0.0520228324449578	0.020997900209979003	0.06409359064093591	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:12876353	CsGiG	EEF1A2	0.0520228324449578	0.019998000199980003	0.06479352064793521	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL2137046	CsGiG	EEF1A2	0.0520228324449578	0.020997900209979003	0.064993500649935	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL406270	CsGiG	EEF1A2	0.0520228324449578	0.022097790220977902	0.0655934406559344	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:620	CsGiG	EEF1A2	0.0520228324449578	0.021497850214978503	0.06579342065793421	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL489	CsGiG	EEF1A2	0.0520228324449578	0.021897810218978103	0.06619338066193381	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1231071	CsGiG	EEF1A2	0.0520228324449578	0.021997800219978002	0.0678932106789321	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:188966	CsGiG	EEF1A2	0.0520228324449578	0.022297770222977704	0.07089291070892911	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:14888	CsGpPW	EEF1A1	0.0464749896294535	0.0235976402359764	0.0714928507149285	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1233085	CsGiG	EEF1A1	0.0833330980317322	0.027597240275972403	0.0917908209179082	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL3191218	CsGiG	EEF1A2	0.0367210942289852	0.03899610038996101	0.11228877112288771	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1971760	CsGiG	EEF1A2	0.0367210942289852	0.041995800419958006	0.11348865113488651	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL3198633	CsGiG	EEF1A2	0.0367210942289852	0.04329567043295671	0.11678832116788321	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1320794	CsGiG	EEF1A2	0.0367210942289852	0.04229577042295771	0.11688831116888311	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1480522	CsGiG	EEF1A2	0.0367210942289852	0.043195680431956804	0.11798820117988201	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL25	CsGiG	EEF1A2	0.0367210942289852	0.0435956404359564	0.11878812118788121	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1339283	CsGiG	EEF1A2	0.0367210942289852	0.041995800419958006	0.11938806119388061	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1352521	CsGiG	EEF1A2	0.0367210942289852	0.04279572042795721	0.11938806119388061	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1904348	CsGiG	EEF1A2	0.0367210942289852	0.0425957404259574	0.11948805119488051	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1595790	CsGiG	EEF1A2	0.0367210942289852	0.0428957104289571	0.11948805119488051	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1140	CsGiG	EEF1A2	0.0367210942289852	0.0435956404359564	0.11988801119888011	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1461730	CsGiG	EEF1A2	0.0367210942289852	0.04459554044595541	0.12018798120187982	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1403014	CsGiG	EEF1A2	0.0367210942289852	0.0453954604539546	0.1202879712028797	0.2820827965050385	1.0	1.0	10000	False	False	False
