rank_network,rank_chemistry,compound_id,pref_name,best_metapath,best_target_gene,dwpc_at_best,p_cell_min,p_minp,q_bh,p_bonferroni,p_westfall_young,significant_bh,significant_bonferroni,significant_wy,edge_layers,n_seed_targets,pchembl_max,pchembl_EEF1A1,pchembl_EEF1A2,paralogue_log_selectivity,evidence_types,chembl_targets,stitch_score_max,stitch_experimental_max,stitch_database_max,stitch_textmining_max_discarded,stitch_targets,binds_eef1a_directly,substrate_relation_only,seed_targets,evidence_grade,assay_protein,n_supporting_assays,max_seed_proteins_in_one_document,example_assay_description,tractable_small_molecule,nucleotide_cofactor,structural_exclusion_reason,n_heavy_atoms,n_rings,sa_score,max_phase,alogp,mw,n_vendors,example_vendors,canonical_smiles,inchikey,pubchem_cid,structure_source
33,,CHEMBL1161633,chlorate,CsGiG,EEF1A2,0.0852885491135841,0.0006999300069993,0.0024997500249975,0.0308738356933537,1.0,0.4534546545345465,True,False,False,STITCH,2,,,,,,,644.0,644.0,0.0,588.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,False,False,inorganic (no carbon); acyclic; MW 84 < 250; 4 heavy atoms < 18,4,0,6.65,,,84.458,0,,OCl(=O)=O,,,ChEMBL
33,,CHEMBL572546,phosphosulfate,CsGiG,EEF1A2,0.0852885491135841,0.0006999300069993,0.0024997500249975,0.0308738356933537,1.0,0.4534546545345465,True,False,False,STITCH,2,,,,,,,986.0,862.0,900.0,900.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,True,True,,27,3,4.21,,,427.2880000000001,0,,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O,,,ChEMBL
33,,PUBCHEM:4473092,atrazine-glutathione conjugate,CsGpPW,EEF1A2,0.0440893368118838,0.0010998900109989,0.0024997500249975,0.0308738356933537,1.0,0.6305369463053695,True,False,False,STITCH,1,,,,,,,535.0,535.0,0.0,262.0,EEF1G,False,True,EEF1G,stitch_only,,,,,True,False,,33,1,3.56,,,486.55500000000023,1,Finetech Industry Limited,CCNC1=NC(=NC(=N1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)NC(C)C,,4473092.0,
37,,CHEMBL2097002,selenate,CsGiG,EEF1A2,0.0852885491135841,0.0008999100089991,0.0026997300269973,0.0308738356933537,1.0,0.5508449155084492,True,False,False,STITCH,2,,,,,,,800.0,0.0,800.0,188.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,False,False,inorganic (no carbon); contains metal/metalloid; acyclic; MW 145 < 250; 5 heavy atoms < 18,5,0,4.86,,,144.972,0,,O[Se](=O)(=O)O,,,ChEMBL
38,,CHEMBL1543,reduced glutathione,CsGpPW,EEF1A2,0.0440893368118838,0.0011998800119988,0.0027997200279972,0.0308738356933537,1.0,0.6672332766723328,True,False,False,STITCH,1,,,,,,,514.0,514.0,0.0,112.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,20,0,3.01,,,307.32800000000003,0,,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,,,ChEMBL
39,,PUBCHEM:97538,S-(p-nitrobenzyl)glutathione,CsGpPW,EEF1A2,0.0440893368118838,0.0013998600139986,0.0030996900309969,0.0308738356933537,1.0,0.732026797320268,True,False,False,STITCH,1,,,,,,,514.0,514.0,0.0,106.0,EEF1G,False,True,EEF1G,stitch_only,,,,,True,False,,30,1,3.14,,,442.4500000000002,19,001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AbaChemScene,C1=CC(=CC=C1CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)[N+](=O)[O-],,97538.0,
40,,CHEMBL1208642,thiosulfate,CsGiG,EEF1A2,0.0852885491135841,0.000999900009999,0.0031996800319968,0.0308738356933537,1.0,0.5908409159084091,True,False,False,STITCH,2,,,,,,,644.0,644.0,0.0,230.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,False,False,inorganic (no carbon); acyclic; MW 112 < 250; 5 heavy atoms < 18,5,0,4.48,,,112.131,0,,[O-]S(=O)(=S)[O-],,,ChEMBL
40,,PUBCHEM:2891,cobalt,CsGiG,EEF1A2,0.0852885491135841,0.0008999100089991,0.0031996800319968,0.0308738356933537,1.0,0.5508449155084492,True,False,False,STITCH,2,,,,,,,644.0,644.0,0.0,130.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,False,False,contains metal/metalloid; MW 1356 > 700,93,8,8.28,,,1356.3959999999993,0,,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+2],,2891.0,
40,,PUBCHEM:5326960,glutathione sulfinate,CsGpPW,EEF1A2,0.0440893368118838,0.0013998600139986,0.0031996800319968,0.0308738356933537,1.0,0.732026797320268,True,False,False,STITCH,1,,,,,,,488.0,488.0,0.0,0.0,EEF1G,False,True,EEF1G,stitch_only,,,,,False,False,acyclic,22,0,3.53,,,339.326,5,BOC Sciences; CATO Research Chemicals Inc.; CymitQuimica; Quality Control Solutions (QCS Standards); Veeprho,C(CC(=O)NC(CS(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N,,5326960.0,
43,,CHEMBL1200861,tartrate,CsGiG,EEF1A2,0.0852885491135841,0.0008999100089991,0.0032996700329967,0.0308738356933537,1.0,0.5508449155084492,True,False,False,STITCH,2,,,,,,,704.0,704.0,0.0,0.0,PAPSS1|PAPSS2,False,True,PAPSS1|PAPSS2,stitch_only,,,,,False,False,acyclic; MW 150 < 250; 10 heavy atoms < 18,10,0,3.0,,,150.08599999999998,0,,C(C(C(=O)O)O)(C(=O)O)O,,,ChEMBL
