scope,compound_id,pref_name,q_bh,p_minp,best_metapath,best_target_gene,eef1a_direct,seeds_bound,clears_structural_floor,evidence_grade,pchembl_max,n_vendors,n_seed_targets
full-interactome,CHEMBL1543,reduced glutathione,0.03087,0.0028,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,PUBCHEM:97538,S-(p-nitrobenzyl)glutathione,0.03087,0.0031,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,19,1
full-interactome,CHEMBL1208642,thiosulfate,0.03087,0.0032,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,PUBCHEM:2891,cobalt,0.03087,0.0032,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,PUBCHEM:5326960,glutathione sulfinate,0.03087,0.0032,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,5,1
full-interactome,CHEMBL1200861,tartrate,0.03087,0.0033,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,PUBCHEM:18931838,AGN-PC-0BUEPK,0.03087,0.0033,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,CHEMBL359504,malonate,0.03087,0.0034,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,PUBCHEM:5287712,atrazine-glutathione conjugate,0.03087,0.0034,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,25,1
full-interactome,CHEMBL2146121,calcium ions,0.03087,0.0035,CsGiG,EEF1A2,False,EEF1G|PAPSS1|PAPSS2,False,stitch_only,,0,3
full-interactome,CHEMBL1235226,diethylene glycol,0.03087,0.0036,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,CHEMBL345292,S-hexylglutathione,0.03087,0.0036,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,PUBCHEM:10214,3'-phosphoadenosine 5'-phosphosulfate,0.03087,0.0036,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,19,2
full-interactome,PUBCHEM:18628280,hydron;phosphonato phosphate,0.03087,0.0036,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,PUBCHEM:4631220,AC1NRB2Z,0.0313,0.0039,CsGpPW,EEF1A2,False,EEF1G,False,stitch_only,,0,1
full-interactome,CHEMBL1230989,AMP-PNP,0.0313,0.004,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,CHEMBL1234276,2-(N-morpholino)ethanesulfonic acid,0.0313,0.004,CsGiG,EEF1A2,False,EEF1G|PAPSS1|PAPSS2,False,stitch_only,,0,3
full-interactome,PUBCHEM:440758,adenosine 5'-phosphoselenate,0.0313,0.004,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,3,2
full-interactome,PUBCHEM:783,hydrogen,0.0313,0.004,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,114,2
full-interactome,PUBCHEM:24892762,C05696,0.03537,0.0046,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,1,2
full-interactome,PUBCHEM:20395750,"ethane-1,2-diol;hydron",0.03553,0.0047,CsGiG,EEF1A2,False,EEF1G|PAPSS1|PAPSS2,False,stitch_only,,0,3
full-interactome,PUBCHEM:23977,cobalt,0.03642,0.0049,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,0,2
full-interactome,PUBCHEM:990,3'-phosphoadenosine 5'-phosphosulfate,0.03655,0.005,CsGiG,EEF1A2,False,PAPSS1|PAPSS2,False,stitch_only,,3,2
full-interactome,CHEMBL1200391,Tris-HCl,0.0374,0.0052,CsGiG,EEF1A2,False,EEF1G|PAPSS1|PAPSS2,False,stitch_only,,0,3
full-interactome,CHEMBL457299,polyethylene glycol,0.03822,0.0054,CsGiG,EEF1A2,False,EEF1G|PAPSS1|PAPSS2,False,stitch_only,,0,3
full-interactome,CHEMBL3752910,,0.04251,0.0061,CbGiG,EEF1A1,False,EEF1D|EEF1G|RAN|RPL18A|RPL3|RPL4|RPL7|RPS2|RPS3|RPS3A,True,multiplexed_pulldown,8.41,68,10
