stitch_chemical	protein_id	string_protein	experimental	database	textmining_discarded	prediction_discarded	channel_score	compound_id	mapped_to_chembl
CIDm03082167	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:3082167	False
CIDm03082167	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:3082167	False
CIDm03082167	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:3082167	False
CIDm03000715	HSF1	9606.ENSP00000431512	0	700	0	0	700	CHEMBL441	True
CIDm02951923	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1481543	True
CIDm02907212	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1330583	True
CIDm02857031	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL2004141	True
CIDm02823045	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1605021	True
CIDm02815175	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1562575	True
CIDm02812530	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1525789	True
CIDm02804819	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1965654	True
CIDm02789688	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3190653	True
CIDm02742284	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1406361	True
CIDm02410811	HSF1	9606.ENSP00000431512	400	0	0	0	400	CHEMBL1320794	True
CIDm02409986	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1392142	True
CIDm02408490	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1339678	True
CIDm02407489	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1597561	True
CIDm02403508	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1610938	True
CIDm02401486	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1417851	True
CIDm02367404	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1363796	True
CIDm02360548	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1351963	True
CIDm02324822	HSF1	9606.ENSP00000431512	400	0	0	0	400	CHEMBL1320007	True
CIDm02319352	HSF1	9606.ENSP00000431512	411	0	0	0	411	CHEMBL1606031	True
CIDm02313502	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL3199915	True
CIDm02215233	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1470904	True
CIDm02056784	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL261123	True
CIDm01776078	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1910655	True
CIDm01486505	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1403014	True
CIDm01481829	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1383149	True
CIDm01462059	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1376674	True
CIDm01452801	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1461730	True
CIDm01416750	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1518184	True
CIDm01238357	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1506503	True
CIDm01194328	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1332512	True
CIDm01014820	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1310435	True
CIDm00999548	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1496413	True
CIDm00940159	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1486874	True
CIDm00902699	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1500447	True
CIDm00891145	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1587117	True
CIDm00867602	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1310144	True
CIDm00866501	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1361922	True
CIDm00848023	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1470676	True
CIDm00838877	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL405317	True
CIDm00797449	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1573366	True
CIDm00778068	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1537098	True
CIDm00759942	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1904348	True
CIDm00694249	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1352897	True
CIDm00665332	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1524482	True
CIDm00661826	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1884996	True
CIDm00651433	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1329446	True
CIDm00645210	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1605795	True
CIDm00609289	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1488586	True
CIDm00475367	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:475367	False
CIDm00475367	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:475367	False
CIDm00475367	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:475367	False
CIDm00451597	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:451597	False
CIDm00451597	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:451597	False
CIDm00451597	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:451597	False
CIDm00447272	ST6GALNAC1	9606.ENSP00000156626	0	900	269	0	900	CHEMBL1236347	True
CIDm00447049	HSF1	9606.ENSP00000431512	0	900	0	0	900	PUBCHEM:447049	False
CIDm00446782	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:446782	False
CIDm00446782	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:446782	False
CIDm00446782	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:446782	False
CIDm00446782	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:446782	False
CIDm00446207	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:446207	False
CIDm00446207	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:446207	False
CIDm00446207	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:446207	False
CIDm00446207	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:446207	False
CIDm00441214	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:441214	False
CIDm00441214	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:441214	False
CIDm00441214	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:441214	False
CIDm00441214	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:441214	False
CIDm00440758	PAPSS1	9606.ENSP00000265174	0	800	0	0	800	PUBCHEM:440758	False
CIDm00440758	PAPSS2	9606.ENSP00000406157	0	800	0	0	800	PUBCHEM:440758	False
CIDm00440416	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:440416	False
CIDm00440416	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:440416	False
CIDm00440416	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:440416	False
CIDm00440416	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:440416	False
CIDm00429092	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:429092	False
CIDm00429092	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:429092	False
CIDm00429092	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:429092	False
CIDm00429092	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:429092	False
CIDm00378860	HSF1	9606.ENSP00000431512	404	0	0	0	404	CHEMBL1539980	True
CIDm00233874	HSF1	9606.ENSP00000431512	415	0	0	0	415	CHEMBL1351908	True
CIDm00197474	HSF1	9606.ENSP00000431512	0	700	0	0	700	PUBCHEM:197474	False
CIDm00192785	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL2311177	True
CIDm00192785	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL2311177	True
CIDm00192785	RPS2	9606.ENSP00000341885	644	0	0	0	644	CHEMBL2311177	True
CIDm00192785	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL2311177	True
CIDm00189854	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:189854	False
CIDm00168161	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:168161	False
CIDm00168161	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:168161	False
CIDm00168161	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:168161	False
CIDm00168161	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:168161	False
CIDm00167958	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL608610	True
CIDm00167958	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL608610	True
CIDm00167958	RPS2	9606.ENSP00000341885	644	0	0	0	644	CHEMBL608610	True
CIDm00167958	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL608610	True
CIDm00165838	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:165838	False
CIDm00165838	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:165838	False
CIDm00165838	RPS2	9606.ENSP00000341885	644	0	0	0	644	PUBCHEM:165838	False
CIDm00165838	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:165838	False
CIDm00161605	RPS2	9606.ENSP00000341885	644	0	0	0	644	CHEMBL1229561	True
CIDm00123991	RPL4	9606.ENSP00000311430	644	0	0	0	644	PUBCHEM:123991	False
CIDm00123991	RPL7	9606.ENSP00000339795	644	0	0	0	644	PUBCHEM:123991	False
CIDm00123991	RPL3	9606.ENSP00000346001	618	0	0	0	618	PUBCHEM:123991	False
CIDm00122770	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL2114026	True
CIDm00122770	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL2114026	True
CIDm00122770	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL2114026	True
CIDm00083606	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL2106034	True
CIDm00083606	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL2106034	True
CIDm00083606	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL2106034	True
CIDm00078165	PAPSS1	9606.ENSP00000265174	644	0	289	0	644	CHEMBL1234276	True
CIDm00078165	EEF1G	9606.ENSP00000331901	561	0	0	0	561	CHEMBL1234276	True
CIDm00078165	PAPSS2	9606.ENSP00000406157	644	0	289	0	644	CHEMBL1234276	True
CIDm00073658	RPL4	9606.ENSP00000311430	644	0	179	0	644	CHEMBL1136	True
CIDm00073658	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL1136	True
CIDm00073658	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL1136	True
CIDm00065911	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL1171272	True
CIDm00065911	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL1171272	True
CIDm00065911	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL1171272	True
CIDm00065664	RPL7	9606.ENSP00000339795	0	700	0	0	700	CHEMBL144149	True
CIDm00065482	RPS2	9606.ENSP00000341885	644	0	0	0	644	CHEMBL1214186	True
CIDm00065174	RPS2	9606.ENSP00000341885	644	0	0	0	644	CHEMBL1254011	True
CIDm00063062	PAPSS1	9606.ENSP00000265174	0	700	0	0	700	CHEMBL2137046	True
CIDm00062551	EEF1G	9606.ENSP00000331901	573	0	0	0	573	CHEMBL1229766	True
CIDm00024748	EEF1G	9606.ENSP00000331901	561	0	115	0	561	CHEMBL1206211	True
CIDm00024470	HSF1	9606.ENSP00000431512	0	700	0	0	700	CHEMBL177367	True
CIDm00024424	HSF1	9606.ENSP00000431512	0	700	0	0	700	CHEMBL1200929	True
CIDm00023994	RPL18A	9606.ENSP00000222247	794	0	0	0	794	CHEMBL1411246	True
CIDm00023994	PAPSS1	9606.ENSP00000265174	644	0	0	0	644	CHEMBL1411246	True
CIDm00023994	RPL4	9606.ENSP00000311430	794	0	129	0	794	CHEMBL1411246	True
CIDm00023994	RPL7	9606.ENSP00000339795	794	0	0	0	794	CHEMBL1411246	True
CIDm00023994	RPS2	9606.ENSP00000341885	755	0	0	0	755	CHEMBL1411246	True
CIDm00023994	RPL3	9606.ENSP00000346001	741	0	0	0	741	CHEMBL1411246	True
CIDm00023994	RPS3A	9606.ENSP00000346050	755	0	0	0	755	CHEMBL1411246	True
CIDm00023994	ETF1	9606.ENSP00000353741	690	0	0	0	690	CHEMBL1411246	True
CIDm00023994	PAPSS2	9606.ENSP00000406157	644	0	0	0	644	CHEMBL1411246	True
CIDm00023994	HSF1	9606.ENSP00000431512	0	700	0	0	700	CHEMBL1411246	True
CIDm00023931	HSF1	9606.ENSP00000431512	0	700	0	0	700	PUBCHEM:23931	False
CIDm00022497	RPL4	9606.ENSP00000311430	644	0	0	0	644	CHEMBL2105054	True
CIDm00022497	RPL7	9606.ENSP00000339795	644	0	0	0	644	CHEMBL2105054	True
CIDm00022497	RPL3	9606.ENSP00000346001	618	0	0	0	618	CHEMBL2105054	True
