compound_id	canonical_smiles	inchikey	pref_name	max_phase	alogp	mw
CHEMBL255863	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1	HHZIURLSWUIHRB-UHFFFAOYSA-N	NILOTINIB	4.0	6.36	529.53
CHEMBL3137336	Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl	AXTAPYRUEKNRBA-JTQLQIEISA-N	UPROSERTIB	2.0	3.56	429.25
CHEMBL607707	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C	WVUNYSQLFKLYNI-AATRIKPKSA-N	PELITINIB	2.0	5.10	467.93
CHEMBL491473	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1	XXJWYDDUDKYVKI-UHFFFAOYSA-N	CEDIRANIB	3.0	5.22	450.51
CHEMBL598797	C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1	PLIVFNIUGLLCEK-UHFFFAOYSA-N	CUDC-101	1.0	4.20	434.50
CHEMBL522892	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1	PIQCTGMSNWUMAF-UHFFFAOYSA-N	DOVITINIB	3.0	2.54	392.44
CHEMBL403989	Cc1cc(-c2cc(OC(=O)c3ccccc3)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12	JMGXJHWTVBGOKG-UHFFFAOYSA-N	TG100-801	2.0	7.09	580.09
CHEMBL1908397	O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1	YYLKKYCXAOBSRM-JXMROGBWSA-N	KW-2449	1.0	2.78	332.41
CHEMBL259084	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1	HHFBDROWDBDFBR-UHFFFAOYSA-N	MLN-8054	1.0	5.87	476.87
CHEMBL2386889	Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1	GMIZZEXBPRLVIV-SECBINFHSA-N	SCH-900776	2.0	1.94	376.26
