compound_id	target_chembl_id	protein_id	standard_type	standard_relation	standard_value	standard_units	pchembl_value	assay_type	assay_chembl_id	target_organism	data_validity_comment	activity_comment
CHEMBL31965	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2107832	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL14762	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2048872	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2325741	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2376648	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1084546	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545076	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2103830	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2336325	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1091644	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2035187	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL475251	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3188267	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL553	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL603469	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL572881	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2103842	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3989914	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1236962	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1241855	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2103851	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL372764	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL462018	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL377300	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL483158	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1094408	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1289926	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL215152	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL281948	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3264002	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1908394	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL24828	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
