protein_id	uniprot_accession	pathway_id	pathway_name
RPS3	P23396	R-HSA-9754678	SARS-CoV-2 modulates host translation machinery
RPS3	P23396	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
RPS3	P23396	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
RPS3	P23396	R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA
RPS3	P23396	R-HSA-9954716	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA
RPS3A	P61247	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression
RPS3A	P61247	R-HSA-156902	Peptide chain elongation
RPS3A	P61247	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane
RPS3A	P61247	R-HSA-192823	Viral mRNA Translation
RPS3A	P61247	R-HSA-2408557	Selenocysteine synthesis
RPS3A	P61247	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol
RPS3A	P61247	R-HSA-72649	Translation initiation complex formation
RPS3A	P61247	R-HSA-72689	Formation of a pool of free 40S subunits
RPS3A	P61247	R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex
RPS3A	P61247	R-HSA-72702	Ribosomal scanning and start codon recognition
RPS3A	P61247	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit
RPS3A	P61247	R-HSA-72764	Eukaryotic Translation Termination
RPS3A	P61247	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
RPS3A	P61247	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency
RPS3A	P61247	R-HSA-9684482	IFIT antiviral response
RPS3A	P61247	R-HSA-9735869	SARS-CoV-1 modulates host translation machinery
RPS3A	P61247	R-HSA-9754678	SARS-CoV-2 modulates host translation machinery
RPS3A	P61247	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
RPS3A	P61247	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
RPS3A	P61247	R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA
RPS3A	P61247	R-HSA-9954716	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA
RAN	P62826	R-HSA-165054	Rev-mediated nuclear export of HIV RNA
RAN	P62826	R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)
RAN	P62826	R-HSA-168333	NEP/NS2 Interacts with the Cellular Export Machinery
RAN	P62826	R-HSA-180746	Nuclear import of Rev protein
