stitch_chemical	stitch_name	molecular_weight	stitch_smiles	compound_id	pubchem_cid
CIDs00093082	GMPCPP	521.207606	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(CP(=O)(O)O)O)O)O)NC(=NC2=O)N	PUBCHEM:93082	93082
CIDs00097328	L-Dap	104.10782	C(C(C(=O)O)N)N	CHEMBL103247	97328
CIDs00097536	S-hexylglutathione	391.48296	CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N	CHEMBL345292	97536
CIDs00097538	S-(p-nitrobenzyl)glutathione	442.44358	C1=CC(=CC=C1CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)[N+](=O)[O-]	PUBCHEM:97538	97538
CIDs00099291	C-phenylglycine	151.16256	C1=CC=C(C=C1)C(C(=O)O)N	CHEMBL378605	99291
CIDs00105024	SeMet	196.10634	C[Se]CCC(C(=O)O)N	CHEMBL113178	105024
CIDs00107689	PLLA	90.07794	CC(C(=O)O)O	CHEMBL330546	107689
CIDs00119400	tartrate	148.07096	C(C(C(=O)[O-])O)(C(=O)[O-])O	CHEMBL1236315	119400
CIDs00123991	dehydroalanine	87.0773	C=C(C(=O)O)N	PUBCHEM:123991	123991
CIDs00124886	reduced glutathione	307.32348	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N	CHEMBL1543	124886
CIDs00159296	3'-phosphoadenosine 5'-phosphate	427.201124	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O	CHEMBL574817	159296
CIDs00161605	poly(2'-O-methyladenylic acid	361.247802	COC1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O	CHEMBL1229561	161605
CIDs00165579	paromomycin	711.6911	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N.[O-]S(=O)(=O)[O-]	CHEMBL2206196	165579
CIDs00165838	7-methylguanosine 5'-monophosphate	379.263082	CN1CN(C2=C1C(=O)N=C(N2)N)C3C(C(C(O3)COP(=O)(O)O)O)O	PUBCHEM:165838	165838
CIDs00168161	2'-O-methylguanosine 5'-monophosphate	377.247202	COC1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O	PUBCHEM:168161	168161
CIDs00171548	anti-biotin	244.31064	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2	CHEMBL857	171548
CIDs00188966	dADP	411.201724	C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)O)O	PUBCHEM:188966	188966
CIDs00189854	AC1L4PEN	398.216762	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)O)O)O)OCC(=O)O	PUBCHEM:189854	189854
CIDs00192785	5-methylcytidylic acid	337.223102	CC1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	CHEMBL72388	192785
CIDs00192790	Allo-gamma-hydroxyglutamic acid	163.12866	C(C(C(=O)O)N)C(C(=O)O)O	CHEMBL197110	192790
CIDs00233874	NSC-33010	253.362	CC(C)C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2	CHEMBL1351908	233874
CIDs00253602	anisomycin	265.30496	CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O	CHEMBL423192	253602
CIDs00439196	dithiothreitol	154.251	C(C(C(CS)O)O)S	CHEMBL406270	439196
CIDs00439417	L-beta-lysine	146.18756	C(CC(CC(=O)O)N)CN	PUBCHEM:439417	439417
CIDs00439424	pseudouridylic acid	324.181282	C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)COP(=O)(O)O)O)O	PUBCHEM:439424	439424
CIDs00439530	puromycin	471.50956	CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O	CHEMBL2104870	439530
CIDs00439691	D-alpha-aminobutyric acid	103.11976	CCC(C(=O)O)N	CHEMBL553426	439691
CIDs00439750	N-formylmethionine	177.22144	CSCCC(C(=O)O)NC=O	PUBCHEM:439750	439750
CIDs00440416	C04639	326.197162	C1CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	PUBCHEM:440416	440416
