compound_id	protein_id	n_supporting_assays	n_supporting_documents	max_seed_proteins_in_one_document	multiplexed_proteomics	proteome_scale_readout	biophysical_method	min_confidence_score	assay_types	example_assay_description	evidence_grade
CHEMBL3967087	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL3972065	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3975567	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL3983798	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17AAG-induced HSF1-mediated HSP72 expression in human U2OS cells preincubated for 1 hr followed by 17AAG addition measured after overnight incubation by ArrayScan analysis	assay_reported
CHEMBL4063330	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4069552	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4070302	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4070633	HSF1	2	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human U20S cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4077078	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4087666	HSF1	3	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSPA1A mRNA level preincubated for 1 hr followed by 17-AAG addition measured after 6 hrs by Western blot method	assay_reported
CHEMBL4096048	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4099031	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4102297	HSF1	1	1	1	False	False	False	9	B	Inhibition of 17-AAG-induced HSF1 pathway in human SKOV3 cells assessed as reduction in HSP72 induction preincubated for 1 hr followed by 17-AAG addition measured after 18 hrs by ELISA	assay_reported
CHEMBL4282794	HSF1	2	1	1	False	False	True	9	B	Binding affinity to recombinant human HSF1 monomer expressed in Escherichia coli BL21 (DE3) after 15 mins by fluorescence polarization assay	direct_biophysical
CHEMBL550249	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL550251	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL555689	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL558033	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL559039	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL559594	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL560663	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL561125	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL562794	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL564316	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL564799	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL565134	HSF1	2	1	1	False	False	False	9	B	Amplification of HSF1 transcriptional activity in human heat shock-induced HeLa cells assessed as granule formation treated 1 hr before heat shock challenge measured after 2 hrs without recovery time by immunocytochemical staining	assay_reported
CHEMBL5653589	EEF1A2	1	1	13	True	True	False	9	B	Binding affinity to human EEF1A2 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL5653589	EEF1B2	1	1	13	True	True	False	9	B	Binding affinity to human EEF1B2 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL5653589	EEF1D	1	1	13	True	True	False	9	B	Binding affinity to human EEF1D incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL5653589	EEF1G	1	1	13	True	True	False	9	B	Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL5653589	RAN	1	1	13	True	True	False	9	B	Binding affinity to human RAN incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL5653589	RPL18A	1	1	13	True	True	False	9	B	Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL5653589	RPS2	1	1	13	True	True	False	9	B	Binding affinity to human RPS2 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
CHEMBL5653589	RPS3	1	1	13	True	True	False	9	B	Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay	multiplexed_pulldown
