compound_id	pref_name	max_phase	canonical_smiles	pubchem_cid	inchikey	alogp	mw	n_vendors	example_vendors	structure_source
CHEMBL3944589			c1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1	134145322	UWHMFXHWZZSXIB-UHFFFAOYSA-N	2.95	288.31	0		ChEMBL
CHEMBL3916672			Cc1nc2ccccc2n1-c1cc(Nc2ccc(OCCN(C)C)cn2)ncn1	134143660	JEYSCBUEDROHLD-UHFFFAOYSA-N	3.2	389.46	0		ChEMBL
CHEMBL3964729			Cc1ccc2ncn(-c3cc(Nc4ccc(OCCN(C)C)cn4)ncn3)c2c1	134151279	HRGRQFYTVDLKEE-UHFFFAOYSA-N	3.2	389.46	0		ChEMBL
CHEMBL3911352			CN(C)CCOc1ccc(Nc2cc(-n3cnc4ncccc43)ncn2)nc1	134132642	YTWDOCYUHJCFCG-UHFFFAOYSA-N	2.29	376.42	0		ChEMBL
CHEMBL3936187			CN(C)CCOc1ccc(Nc2cc(-n3cnc4cccnc43)ncn2)nc1	134148891	GZDZXLOEMPRVPY-UHFFFAOYSA-N	2.29	376.42	0		ChEMBL
CHEMBL3891011			CN(C)CCOc1ccc(Nc2cc(-n3ccc4ccccc43)ncn2)nc1	134137362	JCMNYBKEMOQWKZ-UHFFFAOYSA-N	3.5	374.45	0		ChEMBL
CHEMBL3922414			CN(C)CCOc1ccc(Nc2cc(-n3ccnc3)ncn2)nc1	134139906	PKZBARFMXVRZEC-UHFFFAOYSA-N	1.74	325.38	0		ChEMBL
CHEMBL3983798			CN(C)CCCOc1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1	76871873	VKUXBRRQHBTQPW-UHFFFAOYSA-N	3.28	389.46	0		ChEMBL
CHEMBL3919811			CN(C)CCOc1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1	60167947	CQLFRGIYOHYSJV-UHFFFAOYSA-N	2.89	375.44	0		ChEMBL
CHEMBL3923966			CN(C)CCOc1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)cc1	134141913	SJFVFISZPLTGLW-UHFFFAOYSA-N	3.5	374.45	0		ChEMBL
CHEMBL3905315			OCCc1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)cc1	134135737	IARVJKWXSVNCEZ-UHFFFAOYSA-N	3.09	331.38	0		ChEMBL
CHEMBL3967087			CC(C)(C)c1cnc(CSc2cnc(NC(=O)N3CCNCC3)s2)o1	134151342	YTFMKHAFPHBMNE-UHFFFAOYSA-N	3.16	381.53	0		ChEMBL
CHEMBL4070633			Cc1ccc2cc(C(=O)Nc3cc(NC(=O)c4ccc5c(c4)OCCO5)ccc3C)ccc2n1	117996541	RZQWMJAOUJLEAM-UHFFFAOYSA-N	5.13	453.5	17	10X CHEM; A2B Chem; AA BLOCKS; AChemBlock; AbaChemScene	ChEMBL
CHEMBL4087666			Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1NC(=O)c1ccc2nc(OCCN3CCCC3)ccc2c1	117996749	KLHOCHQJHXNKAS-UHFFFAOYSA-N	5.29	552.63	44	10X CHEM; A2B Chem; AA BLOCKS; AChemBlock; AKos Consulting & Solutions	ChEMBL
CHEMBL4077078			Cc1ccc2cc(C(=O)Nc3cc(NC(=O)c4ccc5c(c4)OCCC5)ccc3C)ccc2n1	122589559	SDVZKQSDNMFMHZ-UHFFFAOYSA-N	5.68	451.53	0		ChEMBL
CHEMBL4099031			Cc1ccc2cc(C(=O)Nc3cc(NC(=O)c4ccc5c(c4)CCCO5)ccc3C)ccc2n1	137660684	VKBSPZLZPRKZJH-UHFFFAOYSA-N	5.68	451.53	0		ChEMBL
CHEMBL4063330			Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1NC(=O)c1ccc2ncccc2c1	117996828	XROZVWPOMYAOQU-UHFFFAOYSA-N	4.82	439.47	0		ChEMBL
CHEMBL4069552			Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1NC(=O)c1ccc2ccncc2c1	117996743	ZQOBGHCKTIESSE-UHFFFAOYSA-N	4.82	439.47	0		ChEMBL
CHEMBL4096048			Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1NC(=O)c1ccc2c(c1)CCCN2	117996588	LLTXIVYBCVSFHB-UHFFFAOYSA-N	4.63	443.5	0		ChEMBL
